SK_ID_CURR,TARGET
100001,0.028763345
100005,0.11434793
100013,0.021387208
100028,0.019709088
100038,0.1240027
100042,0.03556537
100057,0.018129895
100065,0.047656223
100066,0.009962661
100067,0.05286867
100074,0.06914069
100090,0.045608025
100091,0.15361328
100092,0.07372845
100106,0.061508313
100107,0.1446795
100109,0.056928404
100117,0.028455215
100128,0.06433275
100141,0.043110188
100150,0.014723944
100168,0.0073771337
100169,0.05347855
100170,0.062875
100171,0.049009256
100172,0.119279996
100184,0.05541197
100187,0.05208151
100212,0.06860328
100222,0.049357545
100223,0.012237062
100232,0.015004455
100241,0.25256196
100245,0.022002816
100253,0.024409754
100256,0.058638506
100271,0.009154126
100278,0.27922887
100280,0.007190649
100306,0.22539005
100311,0.15031928
100312,0.018169126
100330,0.12252445
100331,0.03522023
100352,0.10351958
100358,0.066443495
100367,0.019589508
100382,0.18950942
100384,0.053561848
100385,0.06332621
100386,0.056465436
100399,0.025641236
100404,0.043217316
100416,0.021229643
100422,0.09046276
100426,0.01434967
100438,0.029312942
100444,0.1314248
100445,0.17314506
100446,0.077965386
100447,0.016998986
100450,0.044116866
100466,0.01481802
100483,0.018451067
100484,0.023273984
100494,0.05310649
100510,0.18347909
100512,0.017817428
100517,0.028504968
100548,0.031535484
100551,0.029696494
100552,0.06325302
100553,0.029426808
100561,0.05713625
100568,0.5401156
100569,0.039645948
100591,0.037253667
100592,0.021737492
100602,0.06511415
100607,0.048675377
100613,0.07911981
100617,0.13745673
100618,0.07517528
100622,0.038313363
100625,0.1493386
100677,0.17394476
100699,0.04422161
100702,0.38037
100711,0.070171446
100729,0.13167183
100740,0.25356662
100744,0.14870477
100745,0.044490818
100747,0.0890001
100751,0.3125975
100752,0.0733834
100753,0.20341045
100754,0.1666718
100760,0.045125555
100762,0.0980831
100763,0.044790655
100765,0.017023776
100770,0.051290933
100772,0.0120444875
100777,0.032886475
100791,0.020415438
100792,0.007451659
100797,0.022761723
100823,0.032101233
100826,0.031675413
100830,0.030792622
100836,0.27323818
100872,0.0771412
100910,0.043696936
100913,0.09527928
100918,0.046228744
100931,0.015935998
100952,0.047452636
100953,0.068431
100965,0.17152517
100970,0.029484114
100982,0.1252309
100983,0.36054894
100984,0.03672608
100987,0.05498622
100997,0.07521455
100998,0.13659889
101002,0.05904891
101005,0.22696288
101008,0.2429159
101020,0.079006515
101021,0.02562058
101024,0.03600038
101025,0.14867194
101026,0.043793272
101031,0.02667331
101041,0.023345284
101051,0.01160622
101055,0.079139456
101056,0.24588613
101057,0.04948458
101064,0.015643664
101079,0.08404711
101087,0.027868584
101090,0.032632146
101092,0.08126782
101097,0.13128299
101099,0.017033929
101107,0.113668576
101118,0.072318636
101125,0.07711283
101126,0.016718244
101128,0.015513091
101136,0.10130895
101140,0.22004615
101149,0.14551514
101160,0.06627406
101169,0.2195231
101181,0.019039359
101186,0.017474655
101190,0.11977365
101193,0.08604092
101194,0.13989094
101198,0.21496949
101200,0.061716482
101204,0.03154404
101211,0.04874297
101213,0.10292517
101223,0.049683508
101225,0.07829358
101237,0.10087965
101243,0.06739866
101244,0.14233446
101258,0.042267937
101259,0.22460599
101268,0.12948973
101269,0.017515415
101271,0.09019108
101279,0.042114556
101281,0.07045947
101287,0.034847435
101292,0.056619193
101294,0.02210199
101296,0.075425535
101297,0.026055401
101299,0.019802455
101301,0.03190091
101305,0.07170143
101308,0.15319173
101318,0.018113388
101327,0.25067562
101329,0.019242343
101332,0.03501212
101337,0.055716146
101343,0.016592018
101345,0.014543572
101346,0.017983414
101353,0.013088013
101354,0.12838934
101355,0.22713675
101356,0.027073748
101362,0.050427686
101363,0.342699
101365,0.02496659
101366,0.10042165
101367,0.18439375
101368,0.0135921715
101374,0.102256574
101380,0.016922725
101383,0.031843547
101398,0.034179993
101399,0.2906204
101401,0.21923527
101412,0.06798504
101426,0.05083592
101427,0.3010794
101428,0.17714883
101429,0.25664848
101434,0.065997794
101440,0.11042538
101448,0.07297385
101449,0.048144225
101465,0.03356778
101467,0.02654296
101472,0.06305437
101478,0.08652073
101497,0.04914272
101504,0.12179483
101547,0.022209486
101548,0.12297461
101555,0.12464035
101570,0.021623382
101572,0.06308032
101578,0.03826041
101580,0.25216866
101588,0.15450488
101602,0.029309567
101610,0.117149144
101614,0.057182427
101616,0.029111553
101643,0.10065425
101644,0.026577238
101649,0.06345636
101650,0.07964484
101665,0.015290084
101667,0.10111644
101669,0.03337979
101674,0.06656437
101675,0.032054916
101678,0.08779159
101682,0.04795374
101686,0.053887352
101697,0.17177895
101700,0.35878056
101711,0.028893316
101714,0.040135488
101715,0.28392997
101728,0.064612396
101732,0.06326335
101757,0.1466303
101758,0.05410624
101759,0.09494258
101762,0.020741418
101764,0.04502035
101780,0.40129784
101784,0.012060164
101789,0.023832623
101816,0.08222375
101819,0.020489186
101827,0.013830454
101863,0.11973411
101867,0.04750138
101870,0.021139717
101873,0.20834798
101878,0.15499838
101879,0.026746241
101880,0.019535782
101887,0.037783526
101897,0.021664476
101901,0.110455856
101903,0.24395366
101920,0.010411949
101921,0.04180168
101922,0.04391791
101961,0.11381747
101962,0.0187983
101971,0.06374724
101976,0.32066265
102002,0.12148664
102005,0.043627467
102007,0.4202711
102017,0.020610789
102019,0.24782112
102029,0.016413452
102051,0.22858767
102052,0.0072586187
102054,0.016924042
102062,0.0816772
102067,0.23594868
102068,0.058552273
102070,0.046395816
102090,0.07328706
102092,0.032194637
102099,0.11719311
102100,0.025115823
102112,0.076134555
102113,0.034279957
102122,0.16323513
102123,0.05075127
102125,0.054852214
102126,0.1940741
102146,0.04245759
102147,0.13466823
102151,0.033810247
102158,0.12538181
102159,0.026509775
102162,0.07173833
102165,0.042965915
